,precision,recall,f1-score,support
1,0.7352941176470589,0.6756756756756757,0.704225352112676,37.0
2,0.6363636363636364,0.6829268292682927,0.6588235294117647,41.0
3,0.825,0.825,0.825,40.0
accuracy,0.7288135593220338,0.7288135593220338,0.7288135593220338,0.7288135593220338
macro avg,0.7322192513368982,0.7278675016479893,0.7293496271748134,118.0
weighted avg,0.7313287410495786,0.7288135593220338,0.7293907011360286,118.0
