,precision,recall,f1-score,support
1,0.6341463414634146,0.7027027027027027,0.6666666666666666,37.0
2,0.6,0.5121951219512195,0.5526315789473685,41.0
3,0.7619047619047619,0.8,0.7804878048780488,40.0
accuracy,0.6694915254237288,0.6694915254237288,0.6694915254237288,0.6694915254237288
macro avg,0.6653503677893922,0.6716326082179741,0.6665953501640279,118.0
weighted avg,0.6655898738164138,0.6694915254237288,0.6656277423612773,118.0
