,precision,recall,f1-score,support
1,0.5344827586206896,0.8378378378378378,0.6526315789473685,37.0
2,0.6363636363636364,0.34146341463414637,0.4444444444444444,41.0
3,0.8421052631578947,0.8,0.8205128205128205,40.0
accuracy,0.652542372881356,0.652542372881356,0.652542372881356,0.652542372881356
macro avg,0.670983886047407,0.6597670841573281,0.6391962813015445,118.0
weighted avg,0.6741608617473762,0.652542372881356,0.6372042666422684,118.0
